timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped
1771088492,648840469590,1479749396447,8091683993,15402749252,0,6
1771088522,648840740197,1479894481665,8091686997,15404361076,0,6
1771088552,648840878598,1480042531398,8091688281,15406005746,0,6
1771088582,648841250821,1480085520486,8091691828,15406489892,0,6
1771088612,648847278718,1480230153726,8091748678,15408473043,0,6
1771088642,648852375167,1480352212456,8091796609,15410145720,0,6
1771088672,648852624662,1480441266347,8091799212,15410212774,0,6
1771088702,648852659652,1480625465737,8091799330,15410355253,0,6
1771088732,648852691247,1480809663952,8091799441,15410497722,0,6
1771088762,648852727175,1480993865096,8091799574,15410640218,0,6
1771088792,648852762041,1481177733336,8091799690,15410782569,0,6
1771088822,648852795666,1481361849931,8091799810,15410924922,0,6
1771088852,648852828304,1481545882296,8091799917,15411067324,0,6
1771088882,648852863125,1481730081644,8091800030,15411209674,0,6
1771088912,648852895869,1481914280155,8091800141,15411352145,0,6
1771088942,648852942017,1482098399119,8091800290,15411494586,0,6
1771088972,648852989188,1482282603639,8091800443,15411637105,0,6
1771089002,648853022146,1482466719928,8091800557,15411779516,0,6
1771089032,648853055876,1482650919777,8091800679,15411921999,0,6
1771089062,648853091372,1482835036956,8091800801,15412064419,0,6
1771089092,648853126550,1483019154905,8091800927,15412206844,0,6
1771089122,648853158896,1483203270614,8091801047,15412349254,0,6
1771089153,648853194053,1483387305526,8091801170,15412491677,0,6
1771089183,648853232893,1483571506161,8091801296,15412634103,0,6
1771089213,648853264598,1483755539120,8091801406,15412776509,0,6
1771089243,648853298930,1483939655149,8091801520,15412918920,0,6
1771089273,648853334111,1484123606701,8091801638,15413061274,0,6
1771089303,648853367109,1484307805408,8091801752,15413203684,0,6
1771089333,648853401153,1484491840232,8091801878,15413346044,0,6
1771089363,648853436591,1484676040129,8091801999,15413488463,0,6
1771089393,648853470734,1484860240460,8091802121,15413630948,0,6
1771089423,648853503708,1485044356488,8091802240,15413773361,0,6
1771089453,648859733151,1485123563404,8091808681,15413839752,0,6
1771089483,648859798709,1485123793791,8091808875,15413840064,0,6
1771089513,648860247344,1485127062574,8091814400,15413858122,0,6
1771089543,648872388081,1485146893933,8091997627,15414158255,0,6
1771089573,648885823662,1485166724665,8092200561,15414458638,0,6
1771089603,648899195647,1485186537640,8092402481,15414759013,0,6
1771089633,648912654054,1485206368018,8092605671,15415059202,0,6
1771089663,648926262664,1485226191733,8092811121,15415359404,0,6
1771089693,648939876705,1485246012838,8093016783,15415659650,0,6
1771089723,648953832252,1485265830906,8093227527,15415960032,0,6
1771089753,648967847851,1485285657348,8093439150,15416260222,0,6
1771089783,648981989838,1485305487882,8093652723,15416560537,0,6
1771089813,648996140822,1485325317555,8093866485,15416860913,0,6
1771089843,649010484640,1485345135891,8094083061,15417161296,0,6
1771089873,649024824539,1485364962240,8094299626,15417461486,0,6
1771089903,649087086650,1485529983411,8095332402,15419754271,0,6
1771089933,649440788909,1486046438602,8101224741,15424135206,0,6
1771089963,649704038803,1486418634948,8105612158,15427414273,0,6
1771089993,649747831422,1486569211964,8106339499,15428543908,0,6
1771090023,649747909499,1486569449231,8106340354,15428546895,0,6
1771090053,649747943549,1486569462250,8106340416,15428546999,0,6
1771090083,649747970562,1486569472795,8106340460,15428547085,0,6
1771090113,649747999591,1486569484441,8106340508,15428547178,0,6
1771090143,649748029346,1486569496099,8106340555,15428547272,0,6
1771090173,649748056361,1486569507181,8106340599,15428547360,0,6
1771090204,649748440518,1486658693556,8106345582,15428607500,0,6
1771090234,649748675667,1486666442576,8106348399,15428613334,0,6
1771090264,649749520341,1486838409646,8106359795,15428729072,0,6
1771090294,649750132748,1486868441623,8106367772,15428750792,0,6
1771090324,649750594023,1486885552922,8106373512,15428763400,0,6
1771090354,649762801702,1486904593786,8106557811,15429051878,0,6
1771090384,649777310070,1486924414630,8106776764,15429352251,0,6
1771090414,649791798005,1486944245203,8106995463,15429652441,0,6
1771090444,649806334322,1486964071645,8107214935,15429952759,0,6
1771090474,649820830004,1486983903442,8107433707,15430253154,0,6
1771090504,649835300620,1487003721148,8107652165,15430553535,0,6
1771090534,649849726691,1487023547692,8107869846,15430853726,0,6
1771090564,649864214721,1487043377338,8108088551,15431154036,0,6
1771090594,649878641258,1487063207455,8108306416,15431454415,0,6
1771090624,649893225892,1487083025659,8108526509,15431754800,0,6
1771090654,649907756725,1487102851740,8108745888,15432054986,0,6
1771090684,649922245630,1487122681635,8108964608,15432355301,0,6
1771090714,649960599437,1487277429430,8109595867,15434626266,0,6
1771090744,650296589135,1487836268349,8115195526,15439537323,0,6
1771090774,650532155211,1488321489808,8119119575,15443790333,0,6
1771090804,650551771022,1488470520863,8119445704,15445038947,0,6
1771090834,650551833178,1488470622473,8119446291,15445040492,0,6
1771090864,650551863021,1488470632850,8119446392,15445040576,0,6
1771090894,650551894867,1488470644220,8119446477,15445040669,0,6
