port,fingerprint,count
548,tls,8
9,http,98
6000,http,277
6000,tls,11
2121,unknown,691449
26,tls,5
21,tls,4
110,smtp,1
26,smtp,50
110,ftp,1
5989,http,100
26,ssh,2
26,smtp-ftp,4
5060,tls,24
1026,http,101
631,ftp,1
389,http,99
993,tls,3965
993,unknown,650636
25,smtp,4305
119,http,100
25,tls,4477
25,unknown,641878
49157,http,106
102,unknown,687835
5671,tls,93
2005,tls,6
8008,http,374
1110,ftp,1
1110,tls,24
2005,http,106
1720,ftp,1
1720,http,98
2049,http,94
79,tls,7
992,http,97
2049,tls,5
990,tls,70
135,http,102
445,smb,91
5671,http,103
8000,ftp,1
1521,http,93
11211,ftp,1
322,http,93
623,tls,9
1433,mssql,150
5432,postgres,1324
502,http,103
1883,http,124
445,tls,12
623,telnet,1
543,tls,12
5671,ftp,1
1433,http,105
5432,tls,14
445,ftp,1
111,http,95
5432,ftp,1
543,http,97
322,tls,4
990,http,98
445,mysql,1
11211,tls,4
11211,http,108
445,http,107
5432,http,103
1521,oracle,9
514,tls,18
623,ipmi,7
990,ftp,13
11211,memcached_ascii,6
49155,http,106
587,http,109
2717,http,98
515,http,100
49155,ftp,1
465,dns,1
5357,ftp,1
5357,tls,7
49156,http,105
3986,tls,4
49156,tls,3
587,tls,31
1755,http,99
587,smtp,2875
2000,tls,27
79,dns,2
10000,ftp,1
554,http,96
389,tls,4
10000,vnc,1
5666,tls,13
8009,ftp,1
25,http,147
1027,http,100
1027,tls,41
25,ssh,4
6379,redis,33
13,dns,2
88,http,284
2049,ftp,1
2001,dns,1
1026,tls,30
1026,ftp,1
1026,ssh,2
1723,http,98
179,tls,1
179,bgp,60
1723,pptp,186
49157,tls,2
37,tls,5
544,tls,8
9,tls,3
515,tls,5
5101,tls,9
5101,ftp,1
49153,http,102
8008,tls,44
113,dns,1
993,http,103
20000,ftp,2
992,tls,16
444,ftp,1
992,ftp,1
20,ftp,6
21,ssh,1
21,smtp,2
1521,tls,2
22,http,77
5671,amqp,2
873,tls,6702
873,ftp,1
8443,tls,104554
8080,ssh,2
8080,unknown,1383629
8443,http,1695
8443,unknown,1375781
8443,amqp,2
8080,http,104050
8080,tls,2516
587,dns,1
8008,dns,1
993,ssh,2
993,imap,3
993,pop3,1
993,ftp,1
5666,ftp,1
49154,tls,2
106,rtsp,1
111,tls,4
106,tls,5
106,pop3,1
80,amqp,1
8080,ftp,1
80,smtp,2
548,ftp,1
4899,tls,8
110,dns,1
9100,smtp-ftp,1
8000,dns,1
5989,vnc,3
1755,tls,19
11211,memcached_binary,1
5989,tls,7
513,ssh,1
1911,dns,1
465,pop3,1
49155,tls,2
199,dns,2
1883,amqp,1
427,tls,10
2000,ftp,1
2001,tls,27
6001,vnc,2
6001,telnet,4
992,dns,1
135,tls,3
27017,dns,1
3000,unknown,713144
5000,telnet,2
5800,tls,1
5000,smtp-ftp,2
995,http,98
5000,mysql,2
144,http,98
7,tls,32
8888,unknown,709234
113,tls,2
49154,http,105
5631,dns,1
9100,ftp,1
5900,vnc,19
1723,tls,5
2001,ssh,1
5631,tls,9
2001,telnet,3
5631,ftp,1
139,tls,5
4899,ftp,1
139,ftp,1
3000,http,2
119,ftp,1
119,tls,8
2000,imap,3
49153,ssh,2
995,ftp,1
49153,ftp,1
3306,http,99
88,tls,5
3306,ftp,1
2717,tls,9
5051,http,94
143,ftp,1
143,pop3,1
143,ssh,1
8081,ftp,1
1911,ftp,1
1029,unknown,653350
587,ftp,1
88,smtp,3
1911,http,98
27017,ftp,1
8443,ftp,1
8443,ssh,2
9999,ftp,1
32768,ssh,1
32768,mysql,1
32768,ftp,1
2000,ssh,1
2049,dns,1
6379,dns,1
8008,ssh,1
80,smtp-ftp,1
80,dns,2
80,pop3-redis,2
1028,ftp,1
1025,ftp,1
322,ssh,1
5051,tls,9
389,dns,1
5800,ftp,1
5000,dns,1
995,pop3,4
1723,dns,1
22,smtp-ftp,1
22,ftp,1
22,smtp,1
587,ssh,3
631,ssh,1
631,http,109
631,tls,2
3128,ssh,1
514,dns,1
5672,smtp,1
5672,ssh,2
6000,smtp-ftp,2
514,rtsp,1
6000,vnc,1
6379,mysql,1
5672,ftp,1
199,ftp,1
515,ftp,1
49154,ftp,1
1720,tls,23
144,ftp,1
25,pop3,1
25,ftp,1
144,tls,9
1755,ftp,1
1723,ftp,1
13,tls,3
1027,mysql,1
1883,ftp,1
1883,ssh,1
1433,ftp,1
1433,tls,5
3389,ftp,1
5900,ftp,1
