port,fingerprint,count
80,unknown,2124174
80,tls,859
443,ssh,90
443,unknown,1993448
80,ftp,1
443,ssl,1
443,tls,597665
80,http,402626
443,dns,800
443,http,5281
443,mssql,7
80,ssh,9
6001,unknown,703311
554,unknown,720152
8081,tls,6941
873,unknown,688789
9999,tls,6671
11211,unknown,712770
444,unknown,705137
873,http,115
49156,unknown,725786
9999,unknown,717745
444,ssh,4
8081,http,2633
9999,dns,2
513,unknown,784315
444,tls,6887
1110,unknown,763283
444,http,128
8081,unknown,685184
32768,unknown,792209
1723,unknown,712889
554,tls,4
22,ssh,9091
444,smtp-ftp,5
3306,unknown,718289
9100,unknown,688919
22,tls,30
8008,unknown,687577
9999,http,187
6443,unknown,698217
106,unknown,728532
22,unknown,685229
646,unknown,690228
646,http,96
9,unknown,672303
5009,unknown,735581
5190,unknown,670376
37,unknown,685417
8000,unknown,715312
5672,unknown,705805
2717,unknown,682134
27017,unknown,706432
143,unknown,723705
5000,unknown,695800
7,unknown,685636
49154,unknown,689376
5060,unknown,701569
81,unknown,782675
5432,unknown,691388
81,http,361
199,unknown,700674
5000,http,486
110,unknown,699602
81,tls,50
49155,unknown,689488
322,unknown,698895
5000,tls,144
1521,unknown,685484
179,unknown,706232
7070,unknown,706758
5666,unknown,710012
2005,unknown,675177
3128,unknown,672762
5060,http,118
5051,unknown,676229
3128,http,213
6379,unknown,714079
111,unknown,686714
2049,unknown,688894
995,unknown,656248
21,unknown,677125
5800,unknown,699073
5666,http,106
3389,unknown,711848
21,http,109
548,unknown,699409
79,unknown,690059
21,ftp,3303
5357,unknown,698116
623,unknown,690631
8000,tls,2792
502,unknown,678867
3986,unknown,700990
6646,tls,8
6646,unknown,704062
8009,unknown,695741
7070,http,120
2000,unknown,692820
139,unknown,699643
8000,http,502
139,http,99
6646,http,99
5989,unknown,689462
49152,unknown,673262
990,unknown,700421
7070,tls,97
554,rtsp,72
20,tls,1
1025,unknown,698751
10000,unknown,675507
1025,smtp,17
5631,unknown,666122
10000,tls,209
10000,http,261
144,unknown,680609
26,unknown,655418
1025,http,105
389,unknown,690507
1900,unknown,683499
20,unknown,722346
1025,ssh,1
992,unknown,670135
49152,http,113
1025,tls,35
135,unknown,661227
445,unknown,683827
1911,unknown,692007
5900,unknown,728566
2001,unknown,664927
5900,http,95
4899,unknown,704259
5900,tls,11
1755,unknown,665460
5357,http,372
9100,http,1566
49153,unknown,663087
49153,tls,2
6379,tls,142
1028,unknown,676135
544,http,98
3986,http,98
544,unknown,662143
37,http,98
8009,http,110
6000,unknown,681266
119,unknown,661705
2001,http,99
4899,http,103
1028,tls,30
8009,tls,64
3306,mysql,921
1028,http,107
26,http,98
543,unknown,660598
646,tls,5
465,unknown,681696
27017,http,110
465,tls,2380
465,smtp,29
79,http,608
5009,ftp,1
5631,http,97
587,unknown,717846
6001,tls,89
5009,tls,26
7070,ftp,1
49152,tls,8
465,http,100
27017,tls,28
113,unknown,672612
7070,ssh,2
27017,mongodb,43
5190,http,96
5671,unknown,647984
5009,http,111
49157,unknown,642037
995,tls,4197
6001,http,118
623,http,99
513,dns,1
32768,tls,20
6443,http,111
32768,http,103
1110,http,98
5101,http,105
1433,unknown,713746
1026,dns,1
631,unknown,705463
143,http,104
2000,http,107
113,http,97
1026,unknown,672197
5101,unknown,656247
13,unknown,667743
110,pop3,4198
143,imap,4559
514,http,99
1720,unknown,673590
13,http,100
514,unknown,605025
1720,dns,2
515,unknown,671049
6443,tls,5790
502,tls,2
199,http,95
9999,ssh,2
20000,http,1342
513,http,99
20000,tls,2783
20000,unknown,682961
7,http,98
513,ftp,1
513,tls,4
143,tls,2
1883,tls,120
9100,tls,55
5190,tls,11
1900,http,98
1883,unknown,702823
1900,tls,16
10000,ssh,4
427,unknown,641748
23,unknown,737324
49152,ssh,2
49152,ftp,1
179,http,92
106,http,95
20,http,95
110,http,484
1433,dns,2
427,http,60
3389,siemens,20
3389,rdp,1005
1883,mqtt,649
1911,tls,7
3389,http,100
3389,tls,18
3389,ssh,1
135,ftp,1
1027,unknown,670402
88,unknown,628354
199,tls,7
5800,http,105
3306,tls,8
5672,http,116
11211,dns,1
5672,amqp,95
5672,tls,25
81,ftp,1
548,http,99
6379,http,3158
