fingerprint,count
http,11072
tls,9099
https,8710
quic-h3,5581
dns,2889
ssh,1713
smtp,728
ftp,547
mqtt,447
ntp,420
postgres,413
mysql,367
imaps,351
imap,334
pop3,320
pop3s,316
smtps,274
rdp,270
mssql,115
amqp,74
pptp,63
rtsp,53
smb,46
mongodb,41
ftps,37
amqps,36
quic-doq,32
bgp,31
redis,30
siemens,19
vnc,19
smtp-ftp,16
oracle,9
telnet,8
ipmi,6
memcached_ascii,6
pop3-redis,2
memcached_binary,1
ssl,1
