fingerprint,count
amqp,74
amqps,36
bgp,31
dns,2889
ftp,547
ftps,37
http,11072
https,8710
imap,334
imaps,351
ipmi,6
memcached,7
mongodb,41
mqtt,447
mssql,115
mysql,367
ntp,420
oracle,9
pop3,322
pop3s,316
postgres,413
pptp,63
quic,5613
rdp,270
redis,30
rtsp,53
siemens,19
smb,46
smtp,744
smtps,274
ssh,1713
ssl,1
telnet,8
tls,9099
vnc,19
