fingerprint,nr_pops,count
mysql,18,1
ssh,55,27
dns,67,2
https,32,3
quic-h3,4,15
http,11,49
postgres,57,11
dns,57,88
http,34,3
tls,13,5
http,17,7
dns,54,7
pop3s,8,6
dns,15,72
ssh,58,165
mysql,22,3
smtps,5,5
smtp,6,11
ntp,20,1
pptp,43,1
tls,19,5
rtsp,4,15
dns,19,31
postgres,56,6
ssh,23,7
ntp,59,21
ssh,60,34
https,12,12
dns,74,2
https,58,280
tls,6,12
tls,36,4
http,24,3
mysql,8,8
dns,32,4
vnc,2,5
quic-h3,7,4
imaps,20,1
ftps,36,1
ssh,13,1
smtp,14,2
tls,59,165
bgp,20,1
smtps,19,1
siemens,36,1
dns,64,4
imaps,4,6
pop3,2,80
postgres,55,3
dns,36,7
dns,26,23
quic-h3,54,5
ftp,55,7
https,59,183
http,16,6
https,11,30
quic-h3,51,2
ftp,36,1
https,15,19
quic-h3,8,11
http,59,171
rdp,18,1
ntp,13,2
rdp,8,7
dns,30,12
rdp,4,12
http,14,18
quic-h3,15,8
smtps,59,8
ntp,19,1
https,63,22
siemens,9,2
ssh,20,2
mssql,2,22
pptp,2,20
dns,5,113
https,57,238
smtp,55,3
https,61,17
mysql,11,4
http,54,16
bgp,3,2
http,56,121
dns,69,11
dns,10,44
http,42,1
ssh,3,40
ssh,15,2
dns,79,1
http,2,391
tls,11,16
dns,41,6
ftp,20,1
ftp,12,1
pop3s,4,5
smtp,43,1
ssh,2,172
mysql,4,5
imap,3,6
smtp,54,2
http,37,3
tls,4,48
quic-h3,10,17
https,60,71
vnc,8,3
imap,58,1
imaps,59,4
redis,58,3
http,28,4
https,43,2
tls,60,62
ssh,12,5
mqtt,61,4
ftp,2,113
tls,62,5
ssh,19,4
https,51,1
siemens,58,2
mqtt,54,3
tls,30,1
mysql,5,2
https,53,2
bgp,14,1
dns,35,7
imap,22,1
smtps,57,10
ntp,60,2
pop3,14,1
ftp,14,1
pop3,17,1
amqp,11,2
rdp,22,1
postgres,3,3
imap,23,1
ssh,17,2
amqps,60,1
imap,14,1
quic-h3,65,1
redis,3,1
https,25,2
amqps,55,1
imap,56,1
dns,34,6
https,24,2
ftps,4,1
rdp,11,2
imaps,17,1
imap,57,6
dns,22,5
ipmi,2,5
tls,32,1
http,31,1
https,39,1
smtps,22,1
tls,65,4
imaps,57,7
ftps,15,1
amqps,56,3
dns,37,4
dns,53,5
amqp,59,3
https,35,2
quic-h3,47,1
http,39,2
pop3s,56,1
quic-h3,48,1
http,32,1
pop3s,57,5
imap,17,1
oracle,60,1
mongodb,54,1
quic-h3,40,1
http,40,2
pop3,22,1
smtps,56,3
pop3,57,5
imaps,22,1
ssh,10,4
rdp,61,3
http,48,2
quic-h3,69,1
dns,39,3
ftp,22,1
mssql,3,3
rdp,54,2
tls,17,1
ftps,62,2
ftps,57,1
tls,53,2
tls,31,1
http,21,4
vnc,59,1
ssh,65,1
pptp,55,1
quic-h3,31,1
smtp,60,9
ftp,54,3
smtp,22,2
https,21,3
ftp,62,2
pop3s,22,1
dns,71,2
smb,57,1
quic-h3,53,2
quic-doq,69,1
smtp,10,1
smtp,17,1
http,30,4
ntp,7,5
pop3,56,1
https,69,1
http,53,3
pop3,23,1
smtps,60,1
rtsp,6,1
ftp,53,1
ssh,16,1
mysql,54,1
quic-h3,28,2
quic-h3,21,1
pptp,60,1
redis,28,1
amqp,56,1
ipmi,9,1
rdp,29,1
ftp,29,1
vnc,4,1
imap,61,1
https,41,1
imaps,11,1
telnet,5,1
amqp,9,1
redis,60,1
