fingerprint,nr_pops,count
imaps,55,1
pop3,55,2
dns,55,13
dns,3,5
mqtt,60,1
ftp,58,11
siemens,10,1
pop3s,64,3
quic-h3,59,25
rdp,59,5
pop3s,66,2
dns,45,1
pop3s,56,2
ntp,77,1
http,52,15
mssql,62,3
quic-h3,82,6
ssh,81,2
ftp,19,2
quic-h3,6,2
mysql,62,5
https,10,11
quic-h3,23,6
dns,33,2
dns,24,2
ftp,59,11
mysql,2,1
https,17,11
smtps,56,2
ftp,56,5
mqtt,19,22
quic-doq,20,2
imaps,82,1
rdp,56,7
tls,10,8
mssql,57,7
mysql,79,1
oracle,55,1
smtps,62,2
dns,39,2
siemens,78,3
tls,17,7
ftps,57,1
imap,64,2
smtp,2,9
imaps,64,3
dns,21,4
postgres,57,3
http,17,13
smtp,60,6
pop3,64,4
tls,6,4
postgres,55,2
dns,71,1
rtsp,56,1
https,52,14
smtp,65,18
pop3s,55,1
smb,58,1
smtp,55,5
ssl,55,1
dns,79,20
tls,11,13
smtp,66,7
ssh,2,9
mqtt,61,10
smtps,60,3
mssql,79,1
mysql,5,2
mssql,61,1
mqtt,77,6
mysql,55,4
quic-h3,21,5
quic-h3,32,8
postgres,5,4
ftp,77,5
ftps,79,2
dns,72,2
smb,59,2
https,22,3
mysql,66,2
http,22,3
imaps,66,1
mysql,77,3
dns,4,6
quic-h3,13,3
amqps,78,2
tls,25,2
oracle,57,3
postgres,78,2
https,50,4
http,15,12
http,32,6
dns,61,2
https,13,5
dns,11,10
tls,22,1
amqp,62,4
redis,56,1
ssh,11,3
dns,17,3
ssh,10,2
ntp,4,2
mssql,55,2
mssql,65,2
amqps,57,3
rdp,55,3
tls,21,3
postgres,65,3
tls,15,10
quic-h3,22,3
http,21,5
https,32,8
mysql,61,2
ntp,76,2
smtps,5,1
smtps,19,3
https,21,2
quic-h3,8,9
quic-h3,15,11
quic-h3,10,5
postgres,61,2
dns,12,2
dns,73,2
http,12,2
quic-h3,12,2
smtps,58,4
quic-doq,32,2
pop3s,65,1
ssh,40,1
postgres,79,1
quic-h3,37,1
