port,fingerprint,count
5432,ftp,1
322,ssh,1
631,http,50
3389,siemens,20
3389,rdp,1148
322,http,35
631,tls,3
631,ftp,1
1029,http,51
322,tls,6
3389,ftp,1
322,ftp,1
623,tls,4
1029,tls,25
623,telnet,1
1029,ssh,1
623,ftp,1
623,ipmi,13
543,ftp,1
993,ssh,2
993,imap,6
993,pop3,1
993,ftp,1
995,pop3,8
8888,dns,2
993,http,45
6379,tls,39
6379,mysql,1
515,rtsp,1
5900,tls,24
515,ftp,1
515,http,36
515,tls,7
6379,ftp,1
514,http,35
514,rtsp,1
6646,http,40
514,tls,19
514,ftp,1
8081,telnet,1
88,ftp,1
646,http,34
88,tls,4
646,ftp,1
554,rtsp,123
554,tls,4
5432,dns,1
554,http,34
554,ftp,1
49157,tls,1
9,ftp,1
1026,pop3,1
9,pop3,1
3986,tls,2
3986,http,34
9,http,34
1026,tls,26
9,tls,1
3986,ftp,1
1026,ftp,1
1026,ssh,2
32768,tls,17
32768,ssh,2
144,http,34
32768,http,41
32768,mysql,1
32768,ftp,1
21,ssh,1
21,smtp,3
6379,dns,1
1900,tls,26
1900,ftp,1
10000,vnc,1
5190,http,2068
179,ftp,1
9999,tls,8157
1911,ftp,1
1911,tls,8
1911,http,35
2005,telnet,1
2005,ftp,1
199,tls,3
2049,dns,1
5000,telnet,1
5000,ftp,1
1521,http,34
6443,ftp,1
1521,ftp,1
1521,tls,3
1521,oracle,10
8000,dns,1
2121,ssh,1
2121,tls,2
119,http,35
119,ftp,2
119,tls,5
2121,ftp,12
465,dns,1
5672,unknown,784435
5666,tls,10
5357,ftp,1
5666,ftp,1
548,unknown,759765
135,ftp,1
49156,tls,3
5009,ftp,1
502,ftp,1
5631,dns,1
502,modbus,2
1720,ftp,1
502,http,41
1720,http,34
13,tls,2
13,http,36
1720,tls,20
13,ftp,1
631,ssh,1
6000,ftp,1
6000,vnc,1
102,ftp,1
502,rtsp,1
1433,ftp,1
102,http,34
1433,smtp,1
1433,tls,5
102,tls,1
427,http,34
20,tls,1
9999,ssh,2
5671,http,36
1029,ftp,1
990,ftp,12
445,unknown,652018
11211,unknown,693370
873,http,36
873,tls,6200
1883,ftp,1
1883,ssh,1
20,smtp,1
20,ftp,7
9999,ftp,1
1883,amqp,2
22,http,40
7070,ftp,1
5190,ftp,1
990,tls,65
23,tls,1
990,http,35
8081,ftp,1
513,http,36
513,rtsp,1
2717,http,34
513,ftp,1
2717,ftp,1
513,tls,5
2717,tls,6
6646,ftp,1
6646,tls,6
144,ftp,1
144,telnet,1
111,ftp,1
144,tls,6
111,tls,7
427,tls,4
427,ftp,1
1755,http,37
5190,tls,9
1755,tls,13
3128,ftp,1
7070,ssh,1
1755,ftp,1
3128,ssh,1
49157,ftp,1
5101,tls,2046
9100,ftp,1
1110,tls,24
5671,ftp,1
9100,smtp-ftp,1
1110,http,35
5671,amqp,3
8008,telnet,1
8008,ftp,1
8008,ssh,1
143,ftp,1
143,pop3,1
143,ssh,1
22,ftp,1
995,ftp,1
27017,dns,1
5101,ftp,1
465,pop3,1
873,ftp,1
465,ftp,1
1110,ftp,1
49156,ftp,1
