fingerprint,count
dns,2326
http,2099
https,1932
tls,1304
ssh,954
quic-h3,644
ntp,360
smtp,299
ftp,290
mqtt,252
mysql,202
rdp,200
smtps,142
imaps,139
imap,137
pop3,125
pop3s,123
postgres,88
mssql,70
pptp,63
rtsp,47
smb,43
bgp,31
amqp,29
ftps,24
amqps,20
quic-doq,18
vnc,18
mongodb,15
smtp-ftp,11
redis,11
siemens,10
telnet,6
ipmi,6
memcached_ascii,6
oracle,5
memcached_binary,1
