timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped
1771082164,648034925033,1478140383575,8078636330,15386389861,0,6
1771082194,648051326845,1478166044655,8078884050,15386778484,0,6
1771082224,648071417750,1478193576693,8079187591,15387195506,0,6
1771082254,648091493427,1478221109203,8079490910,15387612461,0,6
1771082284,648111629150,1478248652632,8079795160,15388029539,0,6
1771082314,648131692818,1478276181048,8080098239,15388446434,0,6
1771082344,648151741578,1478303712564,8080401127,15388863388,0,6
1771082374,648171902337,1478331239847,8080705784,15389280275,0,6
1771082404,648192076226,1478358784431,8081010525,15389697363,0,6
1771082434,648210517179,1478382667553,8081289072,15390059024,0,6
1771082464,648375935547,1478720744645,8084043194,15394185118,0,6
1771082495,648690317248,1479308926686,8089283668,15398987630,0,6
1771082525,648832560853,1479728236101,8091651603,15402462116,0,6
1771082555,648832962530,1479746193894,8091657875,15402722414,0,6
1771082585,648833045051,1479746205135,8091658831,15402722509,0,6
1771082615,648833076677,1479746217629,8091658902,15402722607,0,6
1771082645,648833124109,1479746234912,8091659009,15402722754,0,6
1771082675,648833161560,1479746249363,8091659079,15402722866,0,6
1771082705,648833191555,1479746261021,8091659130,15402722960,0,6
1771082735,648833220954,1479746273393,8091659184,15402723056,0,6
1771082765,648833248035,1479746284206,8091659229,15402723144,0,6
