timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped
1771079026,646337220227,1475462277518,8050898164,15358688125,0,6
1771079056,646348121253,1475480472941,8051062475,15358963673,0,6
1771079086,646361800822,1475500313241,8051268936,15359263896,0,6
1771079116,646375465908,1475520136594,8051475208,15359563988,0,6
1771079146,646388986717,1475539975499,8051679275,15359864392,0,6
1771079176,646402522738,1475559818766,8051883546,15360164873,0,6
1771079206,646416177320,1475579646294,8052089648,15360465224,0,6
1771079236,646429894239,1475599485317,8052296679,15360765435,0,6
1771079266,646443698341,1475619333004,8052504974,15361065876,0,6
1771079296,646457619263,1475639169256,8052715069,15361366291,0,6
1771079326,646471770775,1475659008568,8052928707,15361666697,0,6
1771079356,646485928089,1475678835223,8053142467,15361967040,0,6
1771079386,646500000648,1475698675357,8053354868,15362267262,0,6
1771079416,646514686679,1475797769351,8053589833,15363819057,0,6
1771079446,646882710804,1476331096986,8059723848,15368736927,0,6
1771079476,647150596844,1476710522756,8064187235,15372035920,0,6
1771079506,647215520658,1476889550495,8065267063,15373346295,0,6
1771079536,647215668829,1476890083714,8065269123,15373353061,0,6
1771079566,647215700561,1476890095924,8065269196,15373353159,0,6
1771079596,647215731089,1476890108026,8065269259,15373353255,0,6
1771079626,647215758423,1476890118526,8065269315,15373353339,0,6
1771079656,647215816505,1476890147645,8065269702,15373353602,0,6
1771079686,647215848537,1476890159813,8065269780,15373353699,0,6
1771079716,647215876918,1476890171994,8065269838,15373353800,0,6
