network_address,prefixlen,bgp_prefix,asn,responsive_addresses,port,date,location
8.148.39.0,24,8.148.40.0/24,24429,256,80,20260204,nl-ens
8.148.40.0,24,8.148.41.0/24,24429,256,80,20260204,nl-ens
8.148.41.0,24,8.148.43.0/24,24429,256,80,20260204,nl-ens
8.148.43.0,24,8.228.0.0/15,396982,256,80,20260204,nl-ens
8.228.224.0,24,8.243.117.0/24,10753,256,80,20260204,nl-ens
13.35.248.0,24,13.107.3.0/24,8068,255,80,20260204,nl-ens
13.224.142.0,24,13.224.142.0/23,16509,256,80,20260204,nl-ens
13.224.143.0,24,13.224.144.0/21,16509,255,80,20260204,nl-ens
13.224.146.0,24,13.224.144.0/21,16509,256,80,20260204,nl-ens
13.224.151.0,24,13.227.180.0/24,16509,255,80,20260204,nl-ens
13.227.180.0,24,13.227.213.0/24,16509,255,80,20260204,nl-ens
13.227.213.0,24,13.248.128.0/20,16509,255,80,20260204,nl-ens
13.248.131.0,24,13.248.128.0/20,16509,235,80,20260204,nl-ens
13.248.135.0,24,13.248.128.0/20,16509,239,80,20260204,nl-ens
13.248.138.0,24,13.248.128.0/20,16509,234,80,20260204,nl-ens
13.248.140.0,24,13.248.128.0/20,16509,234,80,20260204,nl-ens
13.248.142.0,24,13.248.128.0/20,16509,233,80,20260204,nl-ens
13.248.143.0,24,13.248.144.0/20,16509,236,80,20260204,nl-ens
13.248.153.0,24,13.248.144.0/20,16509,237,80,20260204,nl-ens
13.248.154.0,24,13.248.144.0/20,16509,241,80,20260204,nl-ens
13.248.155.0,24,13.248.144.0/20,16509,232,80,20260204,nl-ens
13.248.157.0,24,13.248.144.0/20,16509,233,80,20260204,nl-ens
13.248.158.0,24,13.248.144.0/20,16509,231,80,20260204,nl-ens
13.248.161.0,24,13.248.160.0/20,16509,232,80,20260204,nl-ens
13.248.165.0,24,13.248.160.0/20,16509,235,80,20260204,nl-ens
13.248.166.0,24,13.248.160.0/20,16509,232,80,20260204,nl-ens
13.248.169.0,24,13.248.160.0/20,16509,240,80,20260204,nl-ens
13.248.171.0,24,13.248.160.0/20,16509,231,80,20260204,nl-ens
13.248.173.0,24,13.248.160.0/20,16509,238,80,20260204,nl-ens
13.248.175.0,24,13.248.176.0/20,16509,235,80,20260204,nl-ens
13.248.176.0,24,13.248.176.0/20,16509,237,80,20260204,nl-ens
13.248.177.0,24,13.248.176.0/20,16509,232,80,20260204,nl-ens
13.248.178.0,24,13.248.176.0/20,16509,232,80,20260204,nl-ens
13.248.181.0,24,13.248.176.0/20,16509,235,80,20260204,nl-ens
13.248.184.0,24,13.248.176.0/20,16509,233,80,20260204,nl-ens
13.248.186.0,24,13.248.176.0/20,16509,237,80,20260204,nl-ens
13.248.187.0,24,13.248.176.0/20,16509,235,80,20260204,nl-ens
13.248.188.0,24,13.248.176.0/20,16509,232,80,20260204,nl-ens
13.248.189.0,24,13.248.176.0/20,16509,235,80,20260204,nl-ens
13.248.190.0,24,13.248.176.0/20,16509,231,80,20260204,nl-ens
13.248.191.0,24,13.248.192.0/20,16509,235,80,20260204,nl-ens
13.248.194.0,24,13.248.192.0/20,16509,232,80,20260204,nl-ens
13.248.196.0,24,13.248.192.0/20,16509,231,80,20260204,nl-ens
13.248.197.0,24,13.248.192.0/20,16509,231,80,20260204,nl-ens
13.248.198.0,24,13.248.192.0/20,16509,236,80,20260204,nl-ens
13.248.199.0,24,13.248.192.0/20,16509,235,80,20260204,nl-ens
13.248.201.0,24,13.248.192.0/20,16509,231,80,20260204,nl-ens
13.248.202.0,24,13.248.192.0/20,16509,232,80,20260204,nl-ens
13.248.204.0,24,13.248.192.0/20,16509,233,80,20260204,nl-ens
13.248.205.0,24,13.248.192.0/20,16509,239,80,20260204,nl-ens
13.248.206.0,24,13.248.192.0/20,16509,233,80,20260204,nl-ens
13.248.209.0,24,13.248.208.0/20,16509,231,80,20260204,nl-ens
13.248.212.0,24,13.248.208.0/20,16509,233,80,20260204,nl-ens
13.248.214.0,24,13.248.208.0/20,16509,231,80,20260204,nl-ens
13.248.216.0,24,13.248.208.0/20,16509,232,80,20260204,nl-ens
13.248.217.0,24,13.248.208.0/20,16509,232,80,20260204,nl-ens
13.248.219.0,24,13.248.208.0/20,16509,236,80,20260204,nl-ens
13.248.220.0,24,13.248.208.0/20,16509,231,80,20260204,nl-ens
13.248.223.0,24,13.248.224.0/20,16509,231,80,20260204,nl-ens
13.248.224.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.225.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.226.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.227.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.228.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.229.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.230.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.231.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.232.0,24,13.248.224.0/20,16509,256,80,20260204,nl-ens
13.248.237.0,24,13.248.224.0/20,16509,234,80,20260204,nl-ens
13.248.238.0,24,13.248.224.0/20,16509,232,80,20260204,nl-ens
13.248.244.0,24,13.248.240.0/20,16509,235,80,20260204,nl-ens
13.249.160.0,24,13.249.166.0/23,16509,255,80,20260204,nl-ens
13.249.167.0,24,13.249.168.0/21,16509,255,80,20260204,nl-ens
13.249.171.0,24,13.249.168.0/21,16509,256,80,20260204,nl-ens
13.249.174.0,24,14.1.16.0/24,45437,256,80,20260204,nl-ens
14.102.228.0,24,14.102.228.0/23,209242,256,80,20260204,nl-ens
14.102.229.0,24,14.102.233.0/24,48925,256,80,20260204,nl-ens
15.197.129.0,24,15.197.128.0/20,16509,232,80,20260204,nl-ens
15.197.130.0,24,15.197.128.0/20,16509,232,80,20260204,nl-ens
15.197.135.0,24,15.197.128.0/20,16509,234,80,20260204,nl-ens
15.197.136.0,24,15.197.128.0/20,16509,233,80,20260204,nl-ens
15.197.137.0,24,15.197.128.0/20,16509,234,80,20260204,nl-ens
15.197.139.0,24,15.197.128.0/20,16509,231,80,20260204,nl-ens
15.197.143.0,24,15.197.144.0/20,16509,235,80,20260204,nl-ens
15.197.148.0,24,15.197.144.0/20,16509,232,80,20260204,nl-ens
15.197.156.0,24,15.197.144.0/20,16509,234,80,20260204,nl-ens
15.197.158.0,24,15.197.144.0/20,16509,231,80,20260204,nl-ens
15.197.160.0,24,15.197.160.0/20,16509,240,80,20260204,nl-ens
15.197.162.0,24,15.197.160.0/20,16509,234,80,20260204,nl-ens
15.197.163.0,24,15.197.160.0/20,16509,232,80,20260204,nl-ens
15.197.167.0,24,15.197.160.0/20,16509,234,80,20260204,nl-ens
15.197.172.0,24,15.197.160.0/20,16509,233,80,20260204,nl-ens
15.197.177.0,24,15.197.176.0/20,16509,231,80,20260204,nl-ens
15.197.178.0,24,15.197.176.0/20,16509,233,80,20260204,nl-ens
15.197.180.0,24,15.197.176.0/20,16509,233,80,20260204,nl-ens
15.197.183.0,24,15.197.176.0/20,16509,231,80,20260204,nl-ens
15.197.187.0,24,15.197.176.0/20,16509,235,80,20260204,nl-ens
