fingerprint,count
dns,2219
redis,87
ssh,1494
postgres,268
mqtt,391
rtsp,58
pop3,305
imap,342
rdp,196
amqp,67
ntp,348
smb,77
smtp,612
mysql,404
ftp,439
mongodb,18
mssql,58
pptp,59
telnet,46
http,11440
oracle,6
memcached,6
vnc,11
bgp,27
ipmi,4
