fingerprint
DNS
MDNS
XMPP
REDIS
SSH
POSTGRES
MQTT
SBC_3CX
MINECRAFT
PORTMAP
MIKROTIK_BW
RTSP
POP3
MIKROTIK_WINBOX
DVR_IP
IMAP
IPP
OPENVPN
RDP
CWMP
DCERPC
SVR
VNC
NTP
UNKNOWN
SMB
SNMP
VALVE
SMTP
SIP
MYSQL
NETBIOS
SOCKS
EPMD
FTP
COAP
PPTP
TELNET
NATS_IO
IKE
HTTP
L2TP
KUBERNETES
CISCO_IPSLA
ELASTICSEARCH
AMQP
IRC
TEAMSPEAK
CASSANDRA
UBIQUITI
PGBOUNCER
MSSQL
LDAP
VOTIFIER
PIGEONHOLE
MSMQ
ETHEREUM
ADB
CISCO_SMI
TACACS_PLUS
SAP_ROUTER
NFS_MOUNTD
PROMETHEUS
RSYNC
FORTINET_FCM
WDBRPC
MONGODB
ZEROMQ
WINRM
WHOIS
CHECK_MK_AGENT
KERBEROS
ORACLE
NET_BINARY_FORMATTER
ROCKETMQ
BGP
MURMUR
HIKVISION
ZABBIX
MODBUS
DNP3
GEOVISION_NVR
BITCOIN
KAFKA
RADIUS
CHECKPOINT_TOPOLOGY
TIBIA
IPMI
MULTISTREAM_SELECT
ISCSI
ZOOKEEPER
DICOM
ARD
IMQBROKERD
APACHE_JSERV
LPD
TFTP
FORTIGUARD
IDENT
POPPASSD
ANYCONNECT
AFP
KRPC
TERRARIA
ECHO
SEVEN_DAYS_TO_DIE
WS_DISCOVERY
MEMCACHED
ODETTE_FTP
ACTIVEMQ
SNPP
BOLT
NMEA
MONERO_P2P
SSDP
ICAP
DIGI
ETCD
FOX
RDATE
NNTP
PCOM
DHCPDISCOVER
GIT
EZVIZ
SCCM
SLP
RCON
RIPV1
